City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Maryville,US,2022-07-27 05:13:04,35.7565,-83.9705,80.11,86,75,5.75
136,Coihaique,CL,2022-07-27 05:06:51,-45.5752,-72.0662,31.95,86,40,2.3
137,Gari,RU,2022-07-27 05:13:05,59.4307,62.3497,64.29,50,75,6.55
138,Santiago Del Estero,AR,2022-07-27 05:09:47,-27.7951,-64.2615,78.39,51,97,7.54
139,Tessalit,ML,2022-07-27 05:13:06,20.1986,1.0114,91.4,13,5,10.71
140,Hasaki,JP,2022-07-27 05:06:59,35.7333,140.8333,93.29,80,69,20.74
141,Mahebourg,MU,2022-07-27 05:08:22,-20.4081,57.7,74.25,78,20,5.75
142,Waipawa,NZ,2022-07-27 05:13:08,-41.4122,175.5153,49.91,90,100,2.98
143,Kampong Cham,KH,2022-07-27 05:13:08,11.9934,105.4635,89.87,59,98,4.9
144,Najran,SA,2022-07-27 05:09:50,17.4924,44.1277,87.69,27,89,9.78
145,Constitucion,CL,2022-07-27 05:13:09,-35.3333,-72.4167,49.87,91,85,5.57
146,Vostok,RU,2022-07-27 05:13:10,46.4856,135.8833,79.61,55,38,7.94
147,Kenai,US,2022-07-27 05:06:57,60.5544,-151.2583,60.03,70,0,6.91
148,Tshikapa,CD,2022-07-27 05:13:11,-6.4167,20.8,67.73,37,75,3.36
149,Trairi,BR,2022-07-27 05:11:53,-3.2778,-39.2689,76.55,83,86,10.78
150,Tuktoyaktuk,CA,2022-07-27 05:09:54,69.4541,-133.0374,49.53,79,40,10.54
151,Rockhampton,AU,2022-07-27 05:13:12,-23.3833,150.5,71.49,26,0,11.5
152,San Patricio,US,2022-07-27 05:11:12,28.017,-97.5169,85.89,77,87,12.68
153,Severo-Kurilsk,RU,2022-07-27 05:04:17,50.6789,156.125,55.0,82,95,5.19
154,Edd,ER,2022-07-27 05:13:14,13.9297,41.6925,91.63,61,100,2.04
155,Oranjemund,NA,2022-07-27 05:09:27,-28.55,16.4333,51.31,88,10,5.84
156,Tazovskiy,RU,2022-07-27 05:01:56,67.4667,78.7,53.62,70,24,6.15
157,Abalak,RU,2022-07-27 05:13:15,58.1286,68.5944,68.58,48,73,9.75
158,Karlskrona,SE,2022-07-27 05:13:16,56.1616,15.5866,54.05,71,98,16.31
159,Lagoa,PT,2022-07-27 05:12:50,39.05,-27.9833,72.46,88,28,13.76
160,Batagay-Alyta,RU,2022-07-27 05:13:17,67.8006,130.4114,79.03,42,97,3.91
161,Fort-Shevchenko,KZ,2022-07-27 05:13:18,44.5086,50.263,81.28,46,80,5.28
162,Conde,BR,2022-07-27 05:11:22,-7.2597,-34.9075,71.06,100,100,5.75
163,Comodoro Rivadavia,AR,2022-07-27 05:13:19,-45.8667,-67.5,31.86,93,0,4.61
164,Longyearbyen,SJ,2022-07-27 05:09:53,78.2186,15.6401,48.04,76,75,4.61
165,Nizhniy Tsasuchey,RU,2022-07-27 05:13:20,50.5167,115.1333,62.98,78,100,15.57
166,Zimovniki,RU,2022-07-27 05:13:20,47.1483,42.4633,72.18,66,89,8.21
167,Shirokiy,RU,2022-07-27 05:13:21,49.758,129.523,85.68,62,45,4.29
168,Fuling,CN,2022-07-27 05:13:09,29.7022,107.3919,95.79,53,83,2.57
169,Palmer,US,2022-07-27 05:13:22,42.1584,-72.3287,65.17,85,0,0.0
170,San Quintin,MX,2022-07-27 05:05:46,30.4833,-115.95,66.94,86,10,9.55
171,Oyama,JP,2022-07-27 05:13:23,36.3,139.8,93.58,53,100,2.28
172,Upernavik,GL,2022-07-27 05:05:34,72.7868,-56.1549,37.98,85,94,6.31
173,Karasjok,NO,2022-07-27 05:13:24,69.4719,25.5112,61.18,90,100,3.2
174,Mongo,TD,2022-07-27 05:13:24,12.1844,18.693,71.06,87,100,8.08
175,Palora,EC,2022-07-27 05:13:25,-1.7,-77.9333,63.81,97,100,1.99
176,Clyde River,CA,2022-07-27 05:03:06,70.4692,-68.5914,39.43,100,100,3.44
177,Corning,US,2022-07-27 05:13:26,42.1428,-77.0547,61.72,93,75,3.44
178,Mehamn,NO,2022-07-27 05:13:26,71.0357,27.8492,57.11,100,100,5.75
179,Price,US,2022-07-27 05:13:27,39.5994,-110.8107,76.26,46,75,5.75
