City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
112,Goundam,ML,92.48,light rain,16.4145,-3.6708,
115,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
117,Port Blair,IN,78.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
119,Faanui,PF,78.64,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
120,Lompoc,US,77.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
122,Aswan,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
125,Victoria,HK,91.26,overcast clouds,22.2855,114.1577,Mini Central
126,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
127,Saint Anthony,US,83.93,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
130,Kavieng,PG,85.17,broken clouds,-2.5744,150.7967,Nusa Island Retreat
143,Ende,ID,82.44,clear sky,-8.8432,121.6623,Dwi Putra Hotel - Ende
144,Auki,SB,85.68,few clouds,-8.7676,160.7034,Auki Motel
145,Butaritari,KI,81.48,broken clouds,3.0707,172.7902,Isles Sunset Lodge
148,Nador,MA,78.87,clear sky,35.174,-2.9287,Hôtel La Giralda
149,Rock Springs,US,91.24,few clouds,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
151,North Platte,US,90.12,scattered clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
152,Penon Blanco,MX,81.64,scattered clouds,24.7897,-104.0369,Hotel Lopez
155,Union Hidalgo,MX,79.7,broken clouds,16.4723,-94.8295,"Posada "" Esquipulas"""
156,Upata,VE,76.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
157,Esna,EG,82.42,few clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
159,Dhidhdhoo,MV,77.4,moderate rain,6.8833,73.1,Dhidhoo beach
162,Atar,MR,90.55,clear sky,20.5169,-13.0499,Oumou Elghoura
165,Sarakhs,IR,78.46,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
168,Katsuura,JP,86.59,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
169,Mabaruma,GY,75.33,few clouds,8.2,-59.7833,Monty Brooms Guest House
173,Long Beach,US,90.97,scattered clouds,33.767,-118.1892,The Westin Long Beach
180,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
182,Maihar,IN,79.92,broken clouds,24.2667,80.75,Mrig Van Resort
184,Fort-Shevchenko,KZ,80.02,clear sky,44.5086,50.263,Oasis hotel Bautino
186,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
191,Vega De Alatorre,MX,80.53,overcast clouds,20.0333,-96.6333,Hotel D Luxe
197,Komsomolskiy,UZ,75.92,scattered clouds,40.4272,71.7189,Ikathouse
201,Georgetown,MY,81.9,thunderstorm,5.4112,100.3354,Cititel Penang
203,Chakia,IN,83.61,overcast clouds,26.4167,85.05,Adarsh home 🏠
204,Price,US,89.11,broken clouds,39.5994,-110.8107,National 9 - Price River Inn
205,Hasaki,JP,93.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
206,Tombouctou,ML,93.13,broken clouds,20.0,-3.0,
207,Alta Floresta,BR,76.35,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
208,San Lawrenz,MT,78.85,clear sky,36.0553,14.204,San Andrea Hotel
209,Cayenne,GF,83.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
211,Alvarado,MX,82.06,overcast clouds,18.7667,-95.7667,Del Pastor
212,Cam Ranh,VN,84.16,clear sky,11.9214,109.1591,OYO 598 Peony Hotel
214,San Ramon,US,82.62,few clouds,37.7799,-121.978,San Ramon Marriott
220,Le Pont-De-Claix,FR,75.06,clear sky,45.1244,5.7064,PoMo Hotel & Restaurant
224,Yingcheng,CN,83.77,clear sky,30.95,113.55,Yingcheng Hotel
226,Makakilo City,US,84.56,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
228,Palmer,US,76.21,overcast clouds,42.1584,-72.3287,Wedgewood Motel
233,Nanchang,CN,89.96,clear sky,28.6833,115.8833,Ruidu Hotel
237,Baturaja,ID,76.78,broken clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
239,Nalut,LY,80.91,clear sky,30.3333,10.85,
240,San Patricio,US,90.54,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
243,That Phanom,TH,77.02,overcast clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
244,Batagay,RU,79.72,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
245,Shawnee,US,88.95,clear sky,39.05,-95.7669,Fairfield Inn by Marriott Topeka
250,Dongning,CN,75.15,overcast clouds,44.0622,131.1207,Huayu Hotel
251,Araouane,ML,91.83,broken clouds,18.9048,-3.5265,
252,Yueyang,CN,87.55,clear sky,29.3333,113.0919,Delong Fortune Hotel
253,Tubuala,PA,80.31,overcast clouds,9.5167,-79.0333,
254,Bang Saphan,TH,79.61,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
255,Fuerte Olimpo,PY,78.44,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
258,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
259,Teluk Nibung,ID,76.87,heavy intensity rain,3.001,99.8164,Hotel Assyifa
261,Salur,IN,81.19,overcast clouds,18.5333,83.2167,SATYAM NAIDU FARM HOUSE ( సత్యం నాయుడు వ్యవసాయ క్షేత్రం )
263,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
268,Sao Gabriel Da Cachoeira,BR,76.51,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
270,Cueto,CU,79.75,few clouds,20.6439,-75.9356,
273,Nichinan,JP,85.68,overcast clouds,31.6,131.3667,Guest House Aki
277,Palm Bay,US,85.06,few clouds,28.0345,-80.5887,Port d'Hiver Bed and Breakfast
280,Vanimo,PG,85.14,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
281,Huicheng,CN,88.0,overcast clouds,23.0385,116.2899,Huilai Hotel
283,Beidao,CN,81.12,few clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
284,Fare,PF,78.37,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
285,Parvatsar,IN,77.36,overcast clouds,26.8833,74.7667,Shree Hotel
289,Rajula,IN,79.11,scattered clouds,21.05,71.4333,Lion Lords Inn Rajula
291,Naze,JP,81.52,overcast clouds,28.3667,129.4833,Shishime Hotel
292,Kirakira,SB,84.54,few clouds,-10.4544,161.9205,SanBiz Lodge
297,Redlands,US,93.85,few clouds,34.0556,-117.1825,Dynasty Suites Redlands
299,Riyadh,SA,87.94,light rain,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
300,Ascension,US,86.05,clear sky,30.2169,-90.9001,Highland Inn
301,Bulungu,CD,75.61,clear sky,-4.55,18.6,Maison MC Michel
305,Fukuma,JP,93.2,scattered clouds,33.7667,130.4667,Masago
309,Yibin,CN,81.52,overcast clouds,28.7667,104.6238,Handsome Guesthouse
310,Nouakchott,MR,82.33,few clouds,18.0858,-15.9785,HOTEL IMAN
313,Bengkulu,ID,77.85,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
314,Kerema,PG,82.72,few clouds,-7.9631,145.7785,Frena Lodge
316,Ahuimanu,US,85.75,clear sky,21.4447,-157.8378,Paradise Bay Resort
319,San Nicolas,PH,84.11,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
322,Areia Branca,BR,76.17,scattered clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
324,Laguna,US,90.97,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
327,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
329,Black River,JM,82.94,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
332,Umm Kaddadah,SD,76.96,light rain,13.6017,26.6876,
333,Barreirinhas,BR,76.96,overcast clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
335,Maiduguri,NG,79.93,overcast clouds,11.8464,13.1603,Kagel Mari Police Station
337,Tual,ID,79.32,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
340,Camacari,BR,76.77,clear sky,-12.6975,-38.3242,Sítio Blasi
341,Buraydah,SA,88.25,overcast clouds,26.326,43.975,Mövenpick Qassim
343,Wuda,CN,80.37,few clouds,39.4994,106.7117,Grape Sightseeing Garden
345,Yanam,IN,80.13,overcast clouds,16.7333,82.2167,The Regency Hotel
346,Hambantota,LK,75.54,moderate rain,6.1241,81.1185,Bungalow 63
347,Dharangaon,IN,77.05,scattered clouds,21.0167,75.2667,मंथन
350,Pringsewu,ID,77.29,scattered clouds,-5.3582,104.9744,Urban Style by Front One
351,Atlantic City,US,78.04,overcast clouds,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
355,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
362,Seoul,KR,81.97,light rain,37.5683,126.9778,LOTTE HOTEL SEOUL
365,Banjar,ID,82.15,clear sky,-8.19,114.9675,The Hamsa Resort
366,Bonthe,SL,76.19,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
374,Manado,ID,86.77,few clouds,1.487,124.8455,Aryaduta Hotel
386,Douglas,US,91.06,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
396,Totness,SR,78.78,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
399,Tarauaca,BR,79.18,overcast clouds,-8.1614,-70.7656,Flat Temporada
402,Ban Mo,TH,82.29,scattered clouds,14.6154,100.7273,บริษัท สยาม เอ็น พี อาร์ จำกัด
403,Veraval,IN,81.32,overcast clouds,20.9,70.3667,Lords Inn Somnath
404,Ciudad Bolivar,VE,77.11,overcast clouds,8.1222,-63.5497,Hotel Edi
405,Vila Do Maio,CV,76.66,broken clouds,15.1333,-23.2167,Hotel Marilu
407,Sinnamary,GF,78.31,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
412,Katherine,AU,79.12,clear sky,-14.4667,132.2667,Pine Tree Motel
414,Camocim,BR,76.71,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
415,Tautira,PF,76.87,overcast clouds,-17.7333,-149.15,Pension Oaoa
421,Manzhouli,CN,77.97,clear sky,49.6,117.4333,Angala International Youth Hostel
422,Candolim,IN,80.28,overcast clouds,15.5181,73.7626,Resort Terra Paraiso
425,Doha,QA,93.18,clear sky,25.2867,51.5333,Doha Marriott Hotel
426,Carutapera,BR,75.85,overcast clouds,-1.195,-46.02,Lidera
