City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Sainte-Suzanne,RE,-20.9061,55.6089,68.22,71,20,9.22,light rain
132,Constitucion,CL,-35.3333,-72.4167,48.88,90,100,3.98,overcast clouds
133,Broome,US,42.2506,-75.833,72.36,82,95,3.04,overcast clouds
134,Zhigansk,RU,66.7697,123.3711,70.47,65,48,3.33,scattered clouds
135,Olesnica,PL,51.2134,17.3899,59.59,90,2,5.77,clear sky
136,Ulladulla,AU,-35.35,150.4667,61.7,53,0,12.86,clear sky
137,Provideniya,RU,64.3833,-173.3,50.36,76,0,7.0,clear sky
138,Scarborough,GB,54.2797,-0.4044,55.33,88,100,4.29,overcast clouds
139,Arraial Do Cabo,BR,-22.9661,-42.0278,68.34,69,0,10.04,clear sky
140,Tuzha,RU,57.6062,47.936,55.6,85,32,4.36,scattered clouds
141,Kaspiysk,RU,42.8816,47.6392,66.38,77,4,8.95,clear sky
142,Narsaq,GL,60.9167,-46.05,47.19,86,99,2.86,overcast clouds
143,Ende,ID,-8.8432,121.6623,82.44,65,9,0.25,clear sky
144,Auki,SB,-8.7676,160.7034,85.68,64,12,5.19,few clouds
145,Butaritari,KI,3.0707,172.7902,81.48,78,73,13.11,broken clouds
146,Norman Wells,CA,65.282,-126.8329,73.44,46,20,10.36,few clouds
147,Flinders,AU,-34.5833,150.8552,63.37,66,2,5.99,clear sky
148,Nador,MA,35.174,-2.9287,78.87,89,5,5.73,clear sky
149,Rock Springs,US,41.5875,-109.2029,91.24,19,11,5.37,few clouds
150,Saldanha,ZA,-33.0117,17.9442,41.05,79,0,13.35,clear sky
151,North Platte,US,41.1239,-100.7654,90.12,49,42,7.0,scattered clouds
152,Penon Blanco,MX,24.7897,-104.0369,81.64,26,41,14.76,scattered clouds
153,Lagoa,PT,39.05,-27.9833,72.41,74,0,7.74,clear sky
154,Mogapinyana,BW,-22.3667,27.6,58.64,27,0,11.68,clear sky
155,Union Hidalgo,MX,16.4723,-94.8295,79.7,79,66,17.74,broken clouds
156,Upata,VE,8.0086,-62.3989,76.19,96,100,4.63,overcast clouds
157,Esna,EG,25.2934,32.554,82.42,22,23,7.45,few clouds
158,College,US,64.8569,-147.8028,66.29,74,75,0.0,broken clouds
159,Dhidhdhoo,MV,6.8833,73.1,77.4,85,100,35.75,moderate rain
160,Paoua,CF,7.2427,16.4406,67.8,95,100,3.49,overcast clouds
161,Longyearbyen,SJ,78.2186,15.6401,49.84,81,40,10.36,scattered clouds
162,Atar,MR,20.5169,-13.0499,90.55,43,0,9.93,clear sky
163,Turukhansk,RU,65.8167,87.9833,50.65,70,98,12.53,overcast clouds
164,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,40,9.22,scattered clouds
165,Sarakhs,IR,36.5449,61.1577,78.46,28,0,2.98,clear sky
166,Rocha,UY,-34.4833,-54.3333,47.84,80,65,4.09,broken clouds
167,Ploemeur,FR,47.7333,-3.4333,66.29,82,100,6.91,overcast clouds
168,Katsuura,JP,35.1333,140.3,86.59,72,96,8.79,overcast clouds
169,Mabaruma,GY,8.2,-59.7833,75.33,89,22,3.13,few clouds
170,Pevek,RU,69.7008,170.3133,50.77,59,0,11.43,clear sky
171,Fredericksburg,US,38.3032,-77.4605,74.21,86,100,0.0,light intensity drizzle
172,Krasnoselkup,RU,65.7,82.4667,48.11,64,0,23.94,clear sky
173,Long Beach,US,33.767,-118.1892,90.97,68,40,10.36,scattered clouds
174,Russkiy Aktash,RU,55.0384,52.1214,61.63,89,90,3.51,overcast clouds
175,Port Elizabeth,ZA,-33.918,25.5701,48.31,86,0,5.75,clear sky
176,Lebu,CL,-37.6167,-73.65,46.62,83,100,4.27,overcast clouds
177,Matagami,CA,49.7502,-77.6328,68.11,83,75,3.44,broken clouds
178,Puerto Ayora,EC,-0.7393,-90.3518,71.55,91,77,5.01,broken clouds
179,Sovetskiy,RU,61.3614,63.5842,54.68,66,100,5.77,overcast clouds
180,Kununurra,AU,-15.7667,128.7333,76.98,31,56,4.61,broken clouds
181,Waynesville,US,35.4887,-82.9887,73.49,92,93,1.01,overcast clouds
182,Maihar,IN,24.2667,80.75,79.92,80,70,5.77,broken clouds
183,Bjornevatn,NO,69.6672,29.9847,53.94,100,100,3.44,fog
184,Fort-Shevchenko,KZ,44.5086,50.263,80.02,62,6,10.58,clear sky
185,Sembakung,ID,3.8167,117.25,74.86,98,100,2.28,overcast clouds
186,Gat,IL,31.61,34.7642,75.88,74,0,2.42,clear sky
187,Rorvik,NO,64.8621,11.2373,53.98,92,100,18.23,moderate rain
188,Madimba,TZ,-10.4,40.3333,68.41,90,0,5.91,clear sky
